,company,job,title,question,answer
17,(주)노보네트웍스,IT/웹/통신,"면접 안내 친절하게 해주셨습니다.
면접은 사택 내에서 진행했고 저 한 명에 네다섯분이 둘러 앉아서 면접 진행했습니다.
기술적인 부분 뿐만 아니라 복지제도, 워라밸 같은 질문도 하셨습니다.
마지막으로 코딩...""","- 갈등을 해결한 경험이 있는지?
- 기업을 선택할 때 어떤 부분을 가장 중요시 하는지?
- 다른 곳은 어디 지원했고 지금 구직 상황이 어떤지?","처음 들어갔을 때는 면접관이 여러분 계셔서 당황했지만 삭막하고 냉랭한 분위기가 아니어서 금방 긴장이 풀렸습니다.
면접이 끝나고 난 뒤에 따라오셔서 면접 후기를 알려주셔서 결과를 어느정도 예상할 수 있어서 굉장히 좋았습니다."
18,(주)코드모바일,IT/웹/통신,"분위기는 좋았습니다
팀장님과 회의실에서 1:1로 면접을 진행했습니다
긴장을 풀어주시려 면접에 왜 이런질문을? 하는 생각을 할만한 질문을 하셨습니다""","취미가 무엇이고 주말엔 뭘 하는지,
기억나진 않지만 사회이슈에 대한 질문이였습니다,
좋아하는음식이 뭔지?","취미는 낚시라고 답했고
물어보신 사회이슈는 모르는얘기라 모른다고답함
좋아하는음식은 랍스타라고 답변함"
19,비욘드아이(주),IT/웹/통신,"서류합격후 담당자가 연락왔고 면접 보게 되었ㅅ습ㄴ지다""",인성질문 위주로 물어보심. 업무관련 해왔던일 자세하게 물어보심,장단점
20,(주)위버시스템즈,IT/웹/통신,"최초 연락 - 이메일
면접 분위기 - 크게 어려운 질문 없이 밝게 잘 마무리되었음.""","NCP에 주요 서비스는 무엇인가?
해보고 싶은 업무는 무엇인가?","답변 : Server, Cloud DB, Object Storage
느낀점 : 면접자들에게 기술질문을 많이 하기 보다는 오히려 면접자들이 회사에 대해 궁금한 점이 없는지에 대해 더 많이 물어보셨음."
21,버드뷰(주),IT/웹/통신,"1차 - 실무진 면접
2차 - 대표, cso면접을 통한 진행""","1. 실무
기존 영업 관리 시 성과를 냈던 경험과 과정에서의 어려움

2. 대표
본인의 강점과 약점
버드뷰의 핵심가치를 발휘한 사례","본인의 성과가 진짜 본인이 만들어낸 성과인지에 대한 철저한 검증이
이뤄진다. 컬쳐핏에 대한 검증도 체계적으로 이뤄지다보니 맞지 않으면 합격이
어렵다."
22,씨에스플러스(주),IT/웹/통신,"인사시작하고 그냥 바로 네트워크에대해서 물어봅니당
Osi계층 아시냐고물어봤음""","Osi계층 물어본거
근데 면접관도 잘모르는거같더라고요ㅋㅋㄱ웃기네요",고마웠다
23,에릭슨엘지(주),IT/웹/통신,"HR콜에서 이미 현재 연봉을 말했는데, 대면면접을 부름. 앉자마자 하이어링매니져가 현재 그
자리에 있는 사람이 연봉을 얼마 받는다 (2천 정도 차이) 고 말함. 왠 시간낭비인지. 경력 면접을 신입면접처럼 봄.""",what if 로 가득한 면접. 경력 관련한 질문 전무.,"시간아까웠어요. 기본적인 사항도 체크를
안하고 대면으로 부르는게
갑질로 느껴짐"
24,비즈톡(주),IT/웹/통신,"기업도 면접자를 평가하지만 면접자 또한 기업을 평가한다는 점을 기억하시기를 바랍니다""",질문 내용은 평이하며 기본 이력서 관련 질문 30분 정도 진행됩니다,"면접관에 대한 자기소개가 없습니다.
기본적으로 대화하는 사람이 어느팀에 속했고 직위는 어떻게 되는 지를 알아야 하지 않겠습니까?

대부분의 좋아도 하나만 이상하면 부정적으로 낙인 찍히는 게 사람의 심리이거늘. 전반적으로 무례한 것은 아니었으나 대화하고 있는 사람을 한명의 사회인으로서 존중 하며 대한다는 느낌을 받지 못한 때가 있었습니다

그리고..."
25,드림네트웍스(주),IT/웹/통신,"면접관 2명
나이 (50대 중반 50대 후반정도)""","1. 자기소개
2. 경력사항
3. 운전 여부","제가 다니던 회사가 불법 아니냐고 하면서 비꼬시고
말을 필터 없이 하세요
맞지도 않는 사람 불러다놓고 저희랑은 맞지 않네요 이래요
그리고 고객센터? 랑 같이 있는거같던데 정확하지는 않아요
건물이 많이 오래된거같아요"
26,(주)아리시스,IT/웹/통신,"통신 관련 지식 없어도 괜찮다, 배우려는 자세를 강조함""",대표가 회사에 질문이 있는 지를 많이 물어보셨습니다. 개발 관련 질문은 많지 않았습니다.,"잘 모르지만, 배우려는 신입의 자세를 어필했습니다."
27,(주)프리텔레콤,IT/웹/통신,"인사담당자 + 본부장급 1차면접 참여 음...뭐랄까...그냥 그랬음""",이력서 토대로 질문함 하지만 자기가 아는 범위 내 아니라고 생각해서 계속 질문함...인사담당자 그냥 물어봄,성격 장/단점 대해서...? 그리고 관련업무 대해서 물어봐서 피드백 줌 그리고 마지막으로 할말 이야기 하라고 해서 이야기함...끝
28,티코디(주),IT/웹/통신,"대표님과 1:1 면접으로 진행됩니다. 어려운 질문 하나도없음 가끔 당황스러운 질문 있음""",거의 직무 관련된 질문하시고 마지막에는 담배피냐고 물어보셨음(여자직원이 거의다 흡연해서),"답변은 매우쉬움, 준비안해도될정도"
29,"TechAve Co., Ltd.",IT/웹/통신,"자유로운 분위기의 면접, 사장님과의 직접 대면""","IT경력, IT실력에 관한 질문
일본에 오는 이유
궁금한점",딱딱한 분위기가 아님
30,드림라인,IT/웹/통신,"이력서 제출 후 1차면접 2차면접 순으로 진행됨""","직무관련 경험
판매상품 이해도
기타 인성질문",무난한 면접
31,한국케이블텔레콤(주),IT/웹/통신,"면접 2번보고 채용진행하였습니다. 보통 1~2주씩 걸렸던거 같아요""","이력서 기반의 경험 질문, 인성질문, 목표 질문",다들 친절하게 대해주셨어요. 그래서 편하게 면접봄
32,(주)에어패스,IT/웹/통신,"문자로 합격여부 알려준 후 유선상으로 시간 조율 후 대면 면접함 1대 다 면접""","- 사는곳
- 전 회사에서 무슨 일 했는지
- 결과물 보여줄 수 있는지","전문성 없는 질문,,, 잘아 떨어짐"
33,(주)이호스트아이씨티,IT/웹/통신,"면접자를 전혀 존중을 안해주는 회사라고 느낌.
질문 서너개(업무관련X)로 사람 판단이 가능하신거면 애초에 전화로 사전인터뷰를 해서 제대로 볼 사람만 면접 부르시던가요.
면접관 소개도 없고, 처음부터 면접관...""","자기소개, 집에서 걸린 시간, 퇴사사유, 직전연봉, 희망연봉 등
경력, 직무 관련 질문은 없었음","준비한대로 함.
전 직장에서 갑작스런 조직개편으로 체계가 많이 무너져 힘들었던 경험에 대해 얘기했더니 중소기업에서는 체계가 없는게 당연한거라며 당당하게 얘기하시던데, 회사가 체계가 없는건 당당할게 아니라 조금이라도 만들고 잡아가려고 노력을 해야되는겁니다. 그런 마인드의 회사면 붙어도 안갑니다."
34,(주)윌로그,IT/웹/통신,"""1차 팀면접 - 설문 조사 - 스펙터 - 2차 임원진면접 - 건강검진 - 입사""로 이어지는 프로세스""","1. 스트레스를 받는 상황과 해결법
2. 성격의 강약점과 일할때 힘들다고 느끼는 상황 및 동료스타일
3. 중장기적으로 이루고자 하는 목표 및 인생의 비전","윌로그팀의 컬처핏이 잘맞는지를 보기 위해서 성품, 성향, 성격, 스트레스 상황 등에 대해 평가할 수 있는 질문들이 많았습니다. 또한 면접에 대한 질문 준비 및 이력서에 대한 분석을 하고 면접에 임하신다는 인상을 받았습니다. 열심히 일하고 똑똑하며 감정적이지 않은 인재를 찾는다고 느껴졌습니다. 임원진면접에서 질문의 강도가 압박이 있습니다. 하지만 예의를..."
35,(주)세기알앤디,IT/웹/통신,"제가 채용사이트에 올린 이력 내용을 확인하고 직접 개발 팀장님이 연락을 해주셔서 서류 심사 통과 후 면접 일정 소화하고 입사하게되었습니다.""","1. 이전 회사에서의 주요 업무 사항에 대한 내용과 성과
2. 취업 공백기간에 한 활동
3. 취미생활",편한 분위기로 면담하듯이 진행되었으며 이력서에 잇는 내용들을 기준으로 추가적으로 궁금한 사항에 대한 질문과 답변 위주로 진행되었습니다.
36,굿텔레콤(주),IT/웹/통신,"서류합격 후 일주일후 연락 - 면접전형으로 채용과정 간단""","경력면접이라 지원자1 면접관2 형태
자기소개, 퇴사이유, 기타 포폴관련된 내용 질의응답 2-30분 가량 소요","많이 어렵지 않았던 면접이었습니다. 면접관분들도 친절히 대답해주시고, 저에게 관심가져주시는게 보였어요. 다만 워라벨이 좋은만큼 연봉은 진짜진짜 낮습니다.. 연협하는데 좀 놀랄정도로 제시를했고 어려울것 같다고 하니 이전직장에선 식대가 있었는지 등 비교하시기에 그런점은 좋아보이지 않았습니다. 웬맘하면 90프로는 연봉 깎고 들어가는 구조일것 같아요 워라벨과..."
37,(주)링네트,IT/웹/통신,"직무에대한 자세한 설명을 질문받으며 자기가 해온 프로젝트 및 보유기술에대한질문이 많음""",다뤄본 장비에대한 질문 시스코 및 hp 삼성 네트워크장비 등을 대답했고 서버관련 질문도 있었음,대체적으로 편한 분위기
38,케이디디아이코리아(주),IT/웹/통신,"비교적 딱딱하고 직무에 대한 질문만 하고 질문이 마음에 들지 않으면, 아예 질문조차 하지 않고 면접을 관람하는 여자 면접관도 있었음.""","IP모니터링 직무란 무엇인가?
IP모니터링 직무를 해봤는가?
궁금한 점이 있으면 물어보라.",답변이 마음에 들지 않는다고 아예 질문조차 하지 않고 면접을 관전하고 있는 면접관은 최악이었음. 처음 인사할 때 받지도 않았음.
39,(주)리나소프트,IT/웹/통신,"개발 지식을 중점적으로 물어봄
기본적인 부분이라 정처기 따신 분들은 자신있게 대답할 수 있음""","문제 해결 능력과 패턴 사용 이유를 물어보셨음
포트폴리오 위주로 개발 질문이 50퍼 정도",친절과 무심함이 공존하는 면접
40,케이아이에스정보통신(주),IT/웹/통신,"인사팀 2분, 실무진 1분과 면접을 진행하였고 편한 분위기 속에서 질문을 해주셨음""","힘들었던 일이 있었는지, 이를 어떤 방식으로 극복하였으며 배운점이 있는지",구체적으로 설명해주는걸 좋아함
41,캐시멜로(주),IT/웹/통신,"면접 1회, 긴장 되지 않는 분위기를 만들어 줌
서비스에 대한 리뷰를 해줌""",기술적인 부분의 질문이 대다수여서 기억에 남는건 딱히 없다,기술적인 부분에 대해서 질의를 하였고 서비스에 대한 간단리뷰를 해주셨음
42,영신세무회계,IT/웹/통신,"01. 연봉은 정확하게 명시하지 않고 얼마에서 얼마까지만 말하고 확실한 연봉을 말하지 않고 두서없는 말만 늘어놓음 02. 막상 채용하고 입사시 거래처는 안주고 근로계약서도 일주일째 안씀. 경력자인데 신입처럼...""",01. 며칠일하고 나갈거면 들어오지말라고 어필함. 02. 한직원만 편애하는 편임. 03. 본인얘기만 구절구절 늘어놓음. 두괄식으로 표현하지 않는 편임. 04. 의심이 아주 많음.,01. 꼰대 중의 꼰대 02. 연봉에 대해서 정확하게 제시하지 않고 얼마에서 얼마사이로만 언급하고 근로계약서도 입사이후로도 일주일내내 안씀. 03. 경력자인데 신입처럼 모든 것을 관여할 정도로 쓸데없는 시간낭비함. 04. 의심이 많고 편견이 심함.
43,(주)서현커뮤니케이션,IT/웹/통신,"이력서에 작성했던 것들 위주로 물어보심 어려운건 없었고 전체적으로 작성한거에 대한 사실확인?""",인성적인 부분을 많이 물어보심 성격적인 질문을 하거나 성격이 나오는 질문들,전체적으로 무난했고 당일 저녁에 합격문자옴
44,(주)진네트웍스,IT/웹/통신,"기억은 잘안나는데 문자로 면접 연락오고 1차면접 후에 채용""",대부분 자소서 위주로 질문하였고 어려운 질문은 없었음.,사람을 빨리 구해야하는 느낌이였음
45,(주)인포바인,IT/웹/통신,"서류지원후 이틀이내 연락옴. 면접일정까지 부드럽게 진행됨""","지원직무관련 통상적인 이야기들, 특별히 어려운 질문은 없었음",평범하게 대답함. 단지 면접관들 사이에 의견조율이 되지 않은듯한 느낌을 받음. 지원직무가 회사에 어떤 도움이 될까 하는 질문에 조금 당황했음...
46,한네트(주),IT/웹/통신,"최초 전화연락 + 문자 안내
1차 실무진 면접
2차 임원 면접""","개발 역량에 관한 질문들
인성 관련 질문
성격 관련 질문","무난한 느낌이었고, 모나지 않은 사람을 찾는 느낌"
47,(주)콜라보그라운드,IT/웹/통신,"서류-1차화상면접-과제-2차면접 엄청 길다""","우리 서비스 어떻게 봤는지, 우리 회사의 어떤 점을 좋게 봐서 지원했는지, UIUX말고 프로덕트 디자이너로 프로젝트에 참여한 적은 없는지, 성과를 내기 위한 문제발견/정의 어떻게 하는지","꼬리 질문이 꽤 있는데, 질문 자체가 포괄적이고 간접적이라는 느낌 많이 받았다. 어떻게 답변하냐에 따라 핏을 보려고 하는 건가 싶었다.
1차 화상면접에서 면접관은 1명이었는데 무반응, 무표정이 특징이었다. 면접보시는 분들은 이런 것에 멘탈 안 흔들리는 게 좋을 거 같다."
48,(주)뉴로클,IT/웹/통신,"1층 출입 제한이 있어서 인사담당자와 만나서 해당 층으로 올라왔습니다. 회의실 내 개발/기획 담당 팀장님들께서 편안한 분위기 마련해주어서 부담 없이 솔직하게 면접 진행하였습니다.""","시니어 연차다보니 면접의 질문 보다는 기업문화, 업무 성향이 맞는지가 중요하였습니다. 역으로 뉴로클 서비스 설명해주시고 여기에 대한 질의응답 과정이 더 인상 깊었습니다.","조직 구성 및 업무 형태, 서비스에 관해 답변 주셨으며, 아직 크지 않지만 단단한 조직원들이 모여 업무 하고 있다는 것이 간접적으로 느껴졌습니다."
49,(주)비브로스,IT/웹/통신,"서류 -> 1차 -> 최종

서류 연락 후 1차 면접 대면으로 진행""",장난식으로 사람 당황 시키는 어투의 질문만 강하게 기억에 남아있네요 알맹이 있는 질문이 없었음,"몸풀기로 지원했던 곳인데 경험한 면접 중 가장 최악이었음
질문이 너무 추상적인데다가 의도가 역량 파악을 하기 위한 게 아닌 그냥 골리려는 질문도 있었음
기술 질문할 소스들이 상당히 많았지만 관련 질문이 하나도 안 나옴 그냥 00 써 봤냐? 00써 봤냐?
써 봤다 하면 그 질문이 들어와야 되는데 그냥 거기서 끝남

협업 경험 중요시 한다던데 면접관..."
50,(주)모비프렌,IT/웹/통신,"본사가 구미에 있고 사업장이 용인에 있으며 용인사업장에는 보안이 철저해 근처 카페에서 면접을 봤습니다.""",개발을 하다가 왜 QA라는 직업을 선택했는지에 대한 질문,처음에는 카페에서 면접을 보는건 처음이라 생소 했지만 질문에 대한 답변을 잘 말한거 같았다
51,와우통신,IT/웹/통신,"면접 분위기가 괜찮았습니다. 떨어졌지만 괜챃게 생각합니다""","자바스크립트로 빌드햇던 프로젝트?
리액트 라이프 사이클에 대하여?
배열과 링크드리스트 차이",면접관이 친절하셔서 생각보다 쉽게 보고 왔습니다
52,(주)에이플러스알에프,IT/웹/통신,"면접은 업무 내용에 대한 설명을 듣는 위주였고 간단한 영어 자기소개를 시킴.""",다른 것 보다 일이 단조로워 뭔가를 스스로 진취적으로 해내거나 성취감을 가질 수 있는 업무는 아니라고 한게 기억에 남음.,면접 분위기는 좋았으나 회사를 둘러봤을때 딱딱하고 자유롭지 않은 업무 분위기가 느껴짐. 제조업 성격이 커 그런걸 수도 있을 것 같음.
53,(주)스탁키퍼,IT/웹/통신,"온라인 입사지원>유선으로 면접 제안>1차 대면 면접>2차 있을수도 있다함""","해당 직무 담당자가 아니고 인사총무쪽에서 단독으로 면접을 진행해 당황스러웠음

집에서 얼마나 걸리는지
직무 관련
목표에 대한 부분","면접자는 15분이나 일찍 도착했는데 면접관은 하던 미팅조차 마무리 되지 않아 10분 이상 기다렸네요

늦게 시작해서 미안하다 물 한잔 주는 기본적인거조차 없던

이 회사 퇴사율 높은게 이런 이유인가 싶었습니다"
54,토스모바일(주),IT/웹/통신,"이력서 지원했고, 한 5일내에 연락왔었습니다. 시간배려를 많이 해줌""","사는곳과 이전경력등을 질문했고, 사내분위기에 대한 이야기를 많이 했음",이전 개통실 경력에 대해 답함
55,(주)에넥스텔레콤,IT/웹/통신,"이력서 지원 두달 지나고 구직사이트 내 면접일정으로 면접 잡음. 1:1""","- 나이에 비해 경력이 짧은거 아시죠?
- 선배로서 말씀드리는데..
- 어느 부분을 고쳐야 될까요? (대답) 또요 (대답) 또요
- 인하우스는 원래 그렇잖아요",20분~30분 정도 일찍 도착했는데 사무실 입구 쪽 직원분이 회의실에 기다리시면 담당자 올거라고 안내해주셔서 기다리는데도 아무도 안옴. 회의실 문 열려있고 바로 뒤에 탕비실이여서 직원들 거의 10번정도 왔다갔다 할 동안 담당자 안옴. '일찍왔으니 기다려야지' 란 생각으로 면접시간까지 대기하다가 5분 지나서 연락했더니 그제서야 '도착하셨어요? 우선...
56,(주)왈도시스템,IT/웹/통신,"사장님 및 대표 이사가 면접관이 아니라 필요한 부서 팀장 및 부장이 면접관임.
간단히 회사 소개와 자기소개 및 본인이 누군인지 말해야함.""","본인의 성격 장, 단점은 무엇인가요?
해외 결격사유가 있나요?
해외 출장을 반년 다녀와야하는데 괜찮으신가요?","해외 파견은 필히 가야한다.
전부 딱딱한 이미지이시다.
물은 편하게 마셔도 된다."
57,(주)이팝소프트,IT/웹/통신,"서류와 SQL테스트 1,2차 면접이 있습니다.""","말해보카 서비스에 대한 인사이트 질문, 실무 적용 질문, 포트폴리오 관련 질문(꼬리질문 + 실무방향 질문), 마케팅 관련 질문","이력서와 포트폴리오를 면접 자리에서 처음 읽어 보시는 거 같았고, 마케팅 데이터 분석이다 보니 마케팅 실무에 대해 깊은 이해도를 요구하는 거 같았습니다."
58,(주)가온데이터,IT/웹/통신,"이직사이트를 통해 면접제안이 왔고 제안수락후 빠른면접일정잡아 면접진행- 2:1면접 한번 보았습니다.""","이직하게 된 이유-
학원 공부시어려움점-
자격증취득시 어려운점-
근무환경이 야비비 인데 가능한지

등등 신입이라 기술적인면보단 생활적인 ㅡ 회사에 대한 말을 듣는게 더 많았습니다",긍정적
59,(주)케이티엠모바일,IT/웹/통신,"다대다 면접이였고 서류 합격 후 인성검사 후 1주일 이후에 연락 메일이 왔습니다""","해당 직무를 잘 수행할 수 있을지,
성격의 장단점은 어떠한지,
자소서 작성 경험 내용 기반 질문",자신의 경험을 잘 정리하고 답변하면 좋을듯합니다
60,(주)엔클라우드,IT/웹/통신,"서류심사 → 1차면접(실무진) → 2차면접(임원진) → 합격""","1. 자신이 이제까지 했던 것에 대해서 설명해주세요.
2. 이제까지 진행해온 것 중에서 힘들었던 점에 대해 이야기 해주세요.
3. 경력 중 특정 업무에 대해 설명해주세요.",무난하였습니다.
61,(주)비모소프트,IT/웹/통신,"서류 통과 후 PT를 제작한 후 해당 부분 발표하는 과정이다.""","1. 혼자 준비했는지
2. OOP 객체 지향 프로그래밍에 대해서 조금 더 자세한 질문",면접 자체는 어렵지 않았지만 이후의 과정이 어려운 기업
62,제로소프트(주),IT/웹/통신,"애매하게 별로였음 면접관3명인데 대표 팀장 다른사원
대표말고는 전문성도 없어보이고 직속상사도 아닌 느낌인데 앉아있어서 뭐지 싶음""","그냥 시키는 일만 하면 된다의 뉘앙스 , 성장가능성 없다는 말을 돌려서함",그냥 솔직하게 답변하고 떨어질 예상을 함. 알바몬 공고는 알바 경험 쌓고싶으신 어린분들께 추천!
63,소프트뱅크(주),IT/웹/통신,"일본 사이트를 통해서 엔트리시트를 제출하고, 한국에서 화상면접을 봄.""",가장 기억에 남는건 실패경험에 대해서 질문한거.,"실패 경험이 중요해보였음. 단순히 어찌해서 극복했다가 아니라 어떻게 실패를 했는데, 그 이후에는 어찌 했는지, 무엇을 배웠는지 등등."
64,(주)비플,IT/웹/통신,"면접 중 핸드폰 보시고 자소서도 자리에서 읽으심
1차 합격 통보 받았으나
일주일 후 2차 면접 진행 못하게 되어 합격 취소됨~""","가족관계, 주량 질문이 젤 기억에 남네요
공고에 난 인사총무 뿐 아니라 회계 업무도 해야 한다고 하심
엑셀 어느 정도 할 수 있는지, 성격의 장단점 등등","압박면접이라고 하신 것 같지만 무례하게 느껴졌습니다
1차 합격 통보와 면접 일정 확정 후 연락하겠다고 하셨는데요.
회사 내부 사정으로 2차 면접을 못 하게 되었다고 8일 만에 연락이 왔습니다.
2차 못 본게 아깝지는 않은데요.. 내부 사정 파악하시고 1차 합격 통보 내시지 그랬나요? 뭉뚱그려서 내부 사정 때문이니 너그럽게 이해하라고 하면 그냥 너그럽게..."
65,(주)밸런스히어로,IT/웹/통신,"한명씩 세명, 총 세시간 온라인 면접
같은 질문의 반복""","우리 사업이 본인 가치와 맞느냐는 질문.
(소액대출인데 이자가 쎔)","소신껏 말했고
잘됐다며
사내에 그 문제로 퇴사한 사람이 있다고 함
찾아보니 그 문제보다 다른 문제로 퇴사한 사람이 많은거 같은데
면접에서 정확한 정보를 제공하지 않는 면접관"
66,(주)에스브이,IT/웹/통신,"잡코리아 지원 후 연락받아서 면접을 볼 수 있었다""",자기소개 지원동기 공백기를 물어본게 기억에 남는다,평범
67,(주)티앤케이팩토리,IT/웹/통신,"1차 기술 면접 2차 임원 면접 진행 후 처우개선 진행""","프로세스 개선 경험
일정과 퀄리티 중 어떤 것을 선택
일정이 타이트한 경우 이슈의 처리 프로세스",어렵지 않고 3대1 면접진행
68,케이티링커스(주),IT/웹/통신,"인턴직을 지원하고 서류통과 후 필기는 없이 면접 후 합격""","자기가 이 업무에 강점을 설명해보시오
자기소개 1분
향후 나아가야할 방향","전기공학도로서 많은 프로젝트를 함으로써 전기 관련 전문지식이 있으므로 업무에 빠르게 적응 할 수 있다.

케이티 공중전화를 활용하여 신사업을 개발하여야 한다"
